Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
159450454,-1.06,19.00,98.4,16.48,263.0,280.9,69.5
159644311,-1.06,18.65,101.7,16.48,266.9,285.6,69.1
159838168,-1.06,18.12,106.9,16.48,272.8,293.0,68.6
160032025,-1.06,17.60,112.4,16.48,279.0,300.8,68.0
160225882,-1.06,17.07,118.4,16.48,285.3,308.9,67.5
160419739,-1.06,16.54,124.9,16.48,291.8,317.5,66.8
160613596,-0.94,16.01,121.3,18.53,309.0,331.9,68.6
160807453,-0.94,15.48,128.5,18.53,316.8,341.8,67.9
161001310,-0.94,15.13,133.6,18.53,322.2,348.8,67.5
161195167,-0.94,14.60,141.9,18.53,330.5,359.6,66.8
161389024,-0.94,14.08,150.9,18.53,339.0,371.1,66.0
161582881,-0.94,13.55,160.8,18.53,347.9,383.2,65.2
161776738,-0.94,13.02,171.5,18.53,357.0,396.1,64.3
161970595,-0.94,12.49,183.4,18.53,366.4,409.7,63.4
162164452,-0.94,11.96,196.3,18.53,376.0,424.2,62.4
162358309,-0.94,11.44,210.6,18.53,385.8,439.5,61.4
162552166,-0.94,10.91,226.3,18.53,395.7,455.9,60.2
162746023,-0.94,10.38,243.7,18.53,405.6,473.2,59.0
162939880,-0.94,9.85,262.8,18.53,415.5,491.6,57.7
163133737,-0.94,9.50,276.7,18.53,422.0,504.6,56.7
163327594,-0.94,8.97,299.3,18.53,431.3,525.0,55.2
163521451,-0.94,8.45,324.4,18.53,440.1,546.7,53.6
163715308,-0.88,7.92,345.9,19.76,469.6,583.2,53.6
163909165,-0.88,7.57,366.5,19.76,475.7,600.5,52.4
164103022,-0.88,7.04,400.4,19.76,483.6,627.8,50.4
164296879,-0.88,6.69,425.0,19.76,487.8,647.0,48.9
164490736,-0.88,6.16,465.2,19.76,491.9,677.0,46.6
164684593,-0.88,5.81,494.2,19.76,492.8,697.9,44.9
164878450,-0.88,5.45,525.0,19.76,491.9,719.5,43.1
165072307,-0.88,4.93,574.6,19.76,486.4,752.8,40.2
165266164,-0.88,4.57,609.7,19.76,479.3,775.6,38.2
165460021,-0.88,4.22,646.3,19.76,469.1,798.6,36.0
165653878,-0.88,3.87,684.1,19.76,455.2,821.7,33.6
165847735,-0.88,3.52,722.7,19.76,437.2,844.7,31.2
166041592,-0.88,3.17,761.6,19.76,414.7,867.2,28.6
166235449,-0.82,2.82,833.6,21.17,432.5,939.1,27.4
166429306,-0.82,2.64,855.6,21.17,416.2,951.5,25.9
166623163,-0.82,2.46,877.3,21.17,398.3,963.5,24.4
166817020,-0.82,2.11,919.1,21.17,357.7,986.2,21.3
167010877,-0.82,1.94,938.8,21.17,334.9,996.8,19.6
167204734,-0.82,1.76,957.6,21.17,310.6,1006.7,18.0
167398591,-0.82,1.76,957.6,21.17,310.6,1006.7,18.0
167592448,-0.76,1.58,1037.2,22.80,326.1,1087.2,17.5
167786305,-0.76,1.58,1037.2,22.80,326.1,1087.2,17.5
167980162,-0.76,1.41,1057.2,22.80,295.5,1097.7,15.6
168174019,-0.70,1.41,1130.9,24.70,342.5,1181.6,16.8
168367876,-0.70,1.41,1130.9,24.70,342.5,1181.6,16.8
168561733,-0.70,1.41,1130.9,24.70,342.5,1181.6,16.8
168755590,-0.70,1.23,1153.6,24.70,305.7,1193.5,14.8
168949447,-0.70,1.41,1130.9,24.70,342.5,1181.6,16.8
169143304,-0.70,1.41,1130.9,24.70,342.5,1181.6,16.8
169337161,-0.70,1.41,1130.9,24.70,342.5,1181.6,16.8
169531018,-0.70,1.41,1130.9,24.70,342.5,1181.6,16.8
169724875,-0.70,1.41,1130.9,24.70,342.5,1181.6,16.8
169918732,-0.70,1.41,1130.9,24.70,342.5,1181.6,16.8
170112589,-0.70,1.41,1130.9,24.70,342.5,1181.6,16.8
170306446,-0.70,1.58,1106.2,24.70,376.8,1168.6,18.8
170500303,-0.70,1.58,1106.2,24.70,376.8,1168.6,18.8
170694160,-0.70,1.58,1106.2,24.70,376.8,1168.6,18.8
170888017,-0.70,1.76,1079.8,24.70,408.7,1154.6,20.7
171081874,-0.70,1.94,1052.1,24.70,438.0,1139.6,22.6
171275731,-0.70,2.11,1023.3,24.70,464.8,1123.9,24.4
171469588,-0.70,2.29,993.7,24.70,488.9,1107.5,26.2
171663445,-0.70,2.64,933.4,24.70,529.8,1073.3,29.6
171857302,-0.70,2.82,903.0,24.70,546.8,1055.6,31.2
172051159,-0.70,3.17,842.9,24.70,574.1,1019.8,34.3
172245016,-0.70,3.52,784.5,24.70,593.6,983.7,37.1
172438873,-0.70,3.87,728.7,24.70,606.4,948.0,39.8
172632730,-0.70,4.22,676.0,24.70,613.7,913.0,42.2
172826587,-0.70,4.57,626.8,24.70,616.3,879.1,44.5
173020444,-0.70,5.10,559.6,24.70,613.6,830.4,47.6
173214301,-0.70,5.45,519.1,24.70,608.3,799.7,49.5
173408158,-0.70,5.81,482.0,24.70,601.1,770.5,51.3
173602015,-0.70,6.33,432.0,24.70,587.5,729.2,53.7
173795872,-0.70,6.69,402.1,24.70,577.2,703.5,55.1
173989729,-0.65,7.04,361.1,26.94,595.1,696.1,58.8
174183586,-0.65,7.57,324.2,26.94,574.2,659.4,60.5
174377443,-0.65,7.92,302.4,26.94,560.3,636.7,61.6
174571300,-0.65,8.45,273.2,26.94,539.8,605.0,63.2
174765157,-0.65,8.80,255.9,26.94,526.5,585.4,64.1
174959014,-0.65,9.33,232.7,26.94,507.1,558.0,65.4
175152871,-0.65,9.68,218.8,26.94,494.7,540.9,66.1
175346728,-0.65,10.21,200.1,26.94,476.8,517.1,67.2
175540585,-0.65,10.73,183.5,26.94,459.7,495.0,68.2
175734442,-0.65,11.09,173.6,26.94,448.9,481.3,68.9
175928299,-0.65,11.61,160.0,26.94,433.3,461.9,69.7
176122156,-0.70,11.96,162.2,24.70,414.5,445.1,68.6
176316013,-0.70,12.49,150.4,24.70,401.2,428.4,69.4
176509870,-0.70,13.02,139.9,24.70,388.5,412.9,70.2
176703727,-0.70,13.37,133.4,24.70,380.4,403.1,70.7
176897584,-0.70,13.90,124.5,24.70,368.8,389.3,71.3
177091441,-0.70,14.25,119.1,24.70,361.4,380.5,71.8
177285298,-0.70,14.78,111.5,24.70,350.7,368.0,72.4
177479155,-0.70,15.31,104.6,24.70,340.5,356.2,72.9
177673012,-0.70,15.66,100.4,24.70,334.0,348.8,73.3
177866869,-0.70,16.19,94.5,24.70,324.7,338.2,73.8
178060726,-0.70,16.72,89.1,24.70,315.8,328.1,74.2
178254583,-0.70,17.07,85.7,24.70,310.1,321.7,74.6
178448440,-0.70,17.60,81.0,24.70,301.9,312.6,75.0
178642297,-0.70,18.12,76.7,24.70,294.0,303.9,75.4
178836154,-0.70,18.48,74.0,24.70,289.0,298.3,75.6
179030011,-0.70,19.00,70.2,24.70,281.8,290.4,76.0
179223868,-0.70,19.53,66.7,24.70,274.8,282.8,76.4
179417725,-0.70,19.88,64.5,24.70,270.4,278.0,76.6
179611582,-0.70,20.41,61.4,24.70,263.9,271.0,76.9
179805439,-0.70,20.94,58.5,24.70,257.8,264.3,77.2
