Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
4992375,-2.05,141.82,6.6,8.50,17.0,18.3,68.9
5034400,-2.05,141.47,6.6,8.50,17.2,18.4,69.0
5076425,-2.11,141.11,6.8,8.27,17.4,18.6,68.6
5118450,-2.11,140.76,6.8,8.27,17.5,18.8,68.8
5160475,-2.17,140.41,7.0,8.05,17.7,19.0,68.4
5202500,-2.17,140.06,7.0,8.05,17.9,19.2,68.5
5244525,-2.23,139.71,7.2,7.84,18.0,19.4,68.1
5286550,-2.29,139.35,7.4,7.64,18.2,19.6,67.8
5328575,-2.29,139.00,7.4,7.64,18.3,19.8,67.9
5370600,-2.35,138.65,7.6,7.45,18.5,20.0,67.5
5412625,-2.35,138.48,7.7,7.45,18.6,20.1,67.6
5454650,-2.40,138.12,7.9,7.27,18.7,20.3,67.2
5496675,-2.40,137.77,7.9,7.27,18.9,20.5,67.4
5538700,-2.46,137.42,8.1,7.10,19.0,20.7,67.0
5580725,-2.52,137.07,8.3,6.94,19.2,20.9,66.6
5622750,-2.52,136.72,8.3,6.94,19.4,21.1,66.8
5664775,-2.58,136.36,8.5,6.78,19.5,21.3,66.4
5706800,-2.64,136.01,8.7,6.63,19.7,21.5,66.0
5748825,-2.64,135.66,8.8,6.63,19.8,21.7,66.2
5790850,-2.70,135.31,9.0,6.49,20.0,21.9,65.8
5832875,-2.76,134.96,9.2,6.35,20.1,22.1,65.5
5874900,-2.76,134.60,9.2,6.35,20.3,22.3,65.6
5916925,-2.82,134.43,9.4,6.22,20.4,22.4,65.2
5958950,-2.87,134.08,9.6,6.10,20.5,22.7,64.9
6000975,-2.87,133.72,9.6,6.10,20.7,22.8,65.0
6043000,-2.93,133.37,9.9,5.98,20.8,23.1,64.7
6085025,-2.99,133.02,10.1,5.86,21.0,23.3,64.3
6127050,-2.99,132.67,10.1,5.86,21.2,23.4,64.5
6169075,-3.05,132.32,10.3,5.75,21.3,23.7,64.1
6211100,-3.11,131.96,10.5,5.65,21.4,23.9,63.8
6253125,-3.11,131.61,10.6,5.65,21.6,24.1,63.9
6295150,-3.17,131.44,10.8,5.55,21.7,24.2,63.6
6337175,-3.23,131.09,11.0,5.45,21.8,24.4,63.2
6379200,-3.28,130.73,11.2,5.35,22.0,24.7,62.9
6421225,-3.28,130.38,11.3,5.35,22.1,24.8,63.1
6463250,-3.34,130.03,11.5,5.26,22.3,25.1,62.7
6505275,-3.40,129.68,11.7,5.17,22.4,25.3,62.4
6547300,-3.46,129.50,11.9,5.09,22.5,25.4,62.1
6589325,-3.52,129.15,12.1,5.00,22.6,25.7,61.8
6631350,-3.52,128.80,12.2,5.00,22.8,25.8,61.9
6673375,-3.58,128.45,12.4,4.92,22.9,26.1,61.6
6715400,-3.64,128.09,12.6,4.85,23.1,26.3,61.3
6757425,-3.70,127.92,12.8,4.77,23.1,26.4,60.9
6799450,-3.75,127.57,13.1,4.70,23.3,26.7,60.6
6841475,-3.75,127.21,13.1,4.70,23.4,26.8,60.8
6883500,-3.81,126.86,13.3,4.63,23.6,27.1,60.5
6925525,-3.87,126.69,13.6,4.56,23.6,27.2,60.1
6967550,-3.93,126.33,13.8,4.50,23.7,27.5,59.8
7009575,-3.99,125.98,14.0,4.43,23.9,27.7,59.6
7051600,-4.05,125.63,14.3,4.37,24.0,27.9,59.3
7093625,-4.11,125.45,14.5,4.31,24.0,28.1,58.9
7135650,-4.11,125.10,14.5,4.31,24.2,28.2,59.1
7177675,-4.16,124.75,14.8,4.25,24.3,28.5,58.8
7219700,-4.22,124.57,15.0,4.19,24.4,28.6,58.5
7261725,-4.28,124.22,15.2,4.14,24.5,28.9,58.2
7303750,-4.34,123.87,15.5,4.09,24.6,29.1,57.9
7345775,-4.40,123.70,15.7,4.03,24.7,29.2,57.6
7387800,-4.46,123.34,15.9,3.98,24.8,29.5,57.3
7429825,-4.52,122.99,16.2,3.93,24.9,29.7,57.0
7471850,-4.57,122.82,16.4,3.88,25.0,29.8,56.7
7513875,-4.63,122.46,16.6,3.84,25.1,30.1,56.5
7555900,-4.69,122.29,16.8,3.79,25.1,30.2,56.2
7597925,-4.75,121.94,17.1,3.75,25.2,30.5,55.9
7639950,-4.81,121.58,17.3,3.70,25.3,30.7,55.6
7681975,-4.87,121.41,17.5,3.66,25.4,30.8,55.3
7724000,-4.93,121.06,17.8,3.62,25.5,31.1,55.1
7766025,-4.99,120.88,18.0,3.58,25.5,31.2,54.8
7808050,-5.04,120.53,18.3,3.54,25.6,31.5,54.5
7850075,-5.10,120.35,18.5,3.50,25.6,31.6,54.2
7892100,-5.16,120.00,18.7,3.46,25.7,31.8,54.0
7934125,-5.22,119.82,18.9,3.43,25.8,32.0,53.7
7976150,-5.28,119.47,19.2,3.39,25.9,32.2,53.4
8018175,-5.34,119.30,19.4,3.36,25.9,32.4,53.1
8060200,-5.40,119.12,19.6,3.32,25.9,32.5,52.8
8102225,-5.45,118.77,19.9,3.29,26.0,32.7,52.6
8144250,-5.51,118.59,20.1,3.26,26.0,32.9,52.3
8186275,-5.57,118.24,20.4,3.22,26.1,33.1,52.1
8228300,-5.63,118.06,20.6,3.19,26.1,33.3,51.8
8270325,-5.75,117.89,21.0,3.13,26.1,33.5,51.2
8312350,-5.81,117.54,21.2,3.10,26.2,33.7,50.9
8354375,-5.87,117.36,21.5,3.07,26.2,33.8,50.7
8396400,-5.92,117.18,21.7,3.05,26.2,34.0,50.4
8438425,-5.98,117.01,21.9,3.02,26.2,34.1,50.1
8480450,-6.04,116.66,22.1,2.99,26.3,34.4,49.9
8522475,-6.10,116.48,22.4,2.96,26.3,34.5,49.6
8564500,-6.16,116.30,22.6,2.94,26.3,34.6,49.3
8606525,-6.28,116.13,23.0,2.89,26.2,34.9,48.8
8648550,-6.33,115.95,23.2,2.86,26.2,35.0,48.5
8690575,-6.39,115.60,23.4,2.84,26.3,35.2,48.3
8732600,-6.45,115.43,23.7,2.82,26.3,35.4,48.0
8774625,-6.51,115.25,23.9,2.79,26.3,35.5,47.7
8816650,-6.63,115.07,24.3,2.75,26.2,35.7,47.2
8858675,-6.69,114.90,24.5,2.73,26.2,35.8,46.9
8900700,-6.74,114.72,24.7,2.70,26.2,36.0,46.7
8942725,-6.80,114.55,24.9,2.68,26.2,36.1,46.4
8984750,-6.92,114.37,25.3,2.64,26.1,36.3,45.9
9026775,-6.98,114.19,25.5,2.62,26.1,36.5,45.6
9068800,-7.04,114.02,25.7,2.60,26.0,36.6,45.4
9110825,-7.16,113.84,26.1,2.56,25.9,36.8,44.8
9152850,-7.21,113.67,26.3,2.54,25.9,36.9,44.6
9194875,-7.27,113.67,26.5,2.53,25.8,37.0,44.3
9236900,-7.39,113.49,26.8,2.49,25.7,37.2,43.8
9278925,-7.45,113.31,27.1,2.47,25.7,37.3,43.5
9320950,-7.51,113.14,27.3,2.46,25.7,37.5,43.3
9362975,-7.62,113.14,27.6,2.42,25.5,37.6,42.7
9405000,-7.68,112.96,27.8,2.41,25.5,37.7,42.5
9447025,-7.74,112.79,28.0,2.39,25.4,37.8,42.3
9489050,-7.86,112.79,28.3,2.36,25.3,37.9,41.7
9531075,-7.92,112.61,28.5,2.34,25.2,38.1,41.5
9573100,-7.98,112.61,28.7,2.33,25.1,38.1,41.2
9615125,-8.09,112.43,29.0,2.30,25.0,38.3,40.8
9657150,-8.15,112.43,29.2,2.29,24.9,38.4,40.5
9699175,-8.27,112.26,29.5,2.26,24.8,38.5,40.0
9741200,-8.27,112.26,29.5,2.26,24.8,38.5,40.0
9783225,-8.39,112.08,29.9,2.23,24.7,38.7,39.5
9825250,-8.45,112.08,30.0,2.22,24.6,38.8,39.3
9867275,-8.50,112.08,30.2,2.20,24.5,38.8,39.0
9909300,-8.62,111.91,30.5,2.18,24.3,39.0,38.6
9951325,-8.68,111.91,30.7,2.17,24.2,39.1,38.3
9993350,-8.86,111.91,31.1,2.13,23.9,39.2,37.6
10035375,-8.86,111.91,31.1,2.13,23.9,39.2,37.6
10077400,-8.97,111.91,31.4,2.11,23.7,39.3,37.1
10119425,-9.03,111.91,31.5,2.09,23.6,39.4,36.9
10161450,-9.15,111.91,31.8,2.07,23.4,39.5,36.4
