Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
11134695,-50.32,86.39,0.0,0.00,0.0,0.0,0.0
11241376,-49.33,86.92,0.0,0.00,0.0,0.0,0.0
11348057,-50.21,87.10,0.0,0.00,0.0,0.0,0.0
11454738,-49.15,79.00,0.0,0.00,0.0,0.0,0.0
11561419,-50.09,80.59,0.0,0.00,0.0,0.0,0.0
11668100,-50.15,78.30,0.0,0.00,0.0,0.0,0.0
11774781,-49.85,79.35,0.0,0.00,0.0,0.0,0.0
11881462,-50.21,80.76,0.0,0.00,0.0,0.0,0.0
11988143,-49.03,81.99,0.0,0.00,0.0,0.0,0.0
12094824,-49.21,82.17,0.0,0.00,0.0,0.0,0.0
12201505,-49.50,81.29,0.0,0.00,0.0,0.0,0.0
12308186,-48.91,81.64,0.0,0.00,0.0,0.0,0.0
12414867,-48.62,81.64,0.0,0.00,0.0,0.0,0.0
12521548,-50.32,79.71,0.0,0.00,0.0,0.0,0.0
12628229,-49.50,80.59,0.0,0.00,0.0,0.0,0.0
12734910,-49.62,80.23,0.0,0.00,0.0,0.0,0.0
12841591,-49.27,81.11,0.0,0.00,0.0,0.0,0.0
12948272,-49.27,81.11,0.0,0.00,0.0,0.0,0.0
13054953,-49.33,81.47,0.0,0.00,0.0,0.0,0.0
13161634,-49.27,81.47,0.0,0.00,0.0,0.0,0.0
13268315,-48.74,81.99,0.0,0.00,0.0,0.0,0.0
13374996,-48.45,82.17,0.0,0.00,0.0,0.0,0.0
13481677,-47.86,83.05,0.0,0.00,0.0,0.0,0.0
13588358,-47.33,83.23,0.0,0.00,0.0,0.0,0.0
13695039,-48.04,83.05,0.0,0.00,0.0,0.0,0.0
13801720,-46.74,84.46,0.0,0.00,0.0,0.0,0.0
13908401,-47.62,83.75,0.0,0.00,0.0,0.0,0.0
14015082,-47.39,83.05,0.0,0.00,0.0,0.0,0.0
14121763,-48.45,81.99,0.0,0.00,0.0,0.0,0.0
14228444,-47.27,83.58,0.0,0.00,0.0,0.0,0.0
14335125,-47.62,82.70,0.0,0.00,0.0,0.0,0.0
14441806,-49.15,81.82,0.0,0.00,0.0,0.0,0.0
14548487,-48.39,81.99,0.0,0.00,0.0,0.0,0.0
14655168,-48.91,81.99,0.0,0.00,0.0,0.0,0.0
14761849,-48.56,81.47,0.0,0.00,0.0,0.0,0.0
