Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
133513369,0.29,133.90,1.0,59.24,21.3,21.3,87.3
133706256,0.29,131.96,1.0,59.24,22.3,22.3,87.4
133899143,0.23,129.85,0.8,74.05,23.4,23.4,88.0
134092030,0.23,127.74,0.8,74.05,24.5,24.5,88.0
134284917,0.18,125.81,0.6,98.73,25.6,25.6,88.6
134477804,0.18,123.70,0.7,98.73,26.8,26.8,88.6
134670691,0.12,121.76,0.4,148.10,27.9,27.9,89.1
134863578,0.12,119.82,0.5,148.10,29.0,29.0,89.1
135056465,0.12,117.71,0.5,148.10,30.2,30.2,89.1
135249352,0.12,115.78,0.5,148.10,31.4,31.4,89.1
135442239,-0.00,113.84,0.0,?,32.6,32.6,90.0
135635126,-0.00,111.91,0.0,?,33.8,33.8,90.0
135828013,-0.00,109.79,0.0,?,35.1,35.1,90.0
136020900,-0.00,107.86,0.0,?,36.4,36.4,90.0
136213787,-0.12,105.92,0.5,148.10,37.7,37.7,89.2
136406674,-0.06,103.99,0.3,296.19,39.1,39.1,89.6
136599561,-0.12,102.05,0.6,148.10,40.4,40.5,89.2
136792448,-0.12,100.12,0.6,148.10,41.9,41.9,89.2
136985335,-0.18,98.18,0.9,98.73,43.3,43.3,88.8
137178222,-0.18,96.25,0.9,98.73,44.8,44.8,88.8
137371109,-0.23,94.31,1.3,74.05,46.4,46.4,88.4
137563996,-0.23,92.38,1.3,74.05,48.0,48.0,88.5
137756883,-0.29,90.44,1.7,59.24,49.6,49.6,88.1
137949770,-0.29,88.50,1.7,59.24,51.3,51.3,88.1
138142657,-0.35,86.57,2.2,49.37,53.0,53.1,87.7
138335544,-0.35,84.81,2.2,49.37,54.7,54.7,87.7
138528431,-0.41,82.87,2.7,42.32,56.6,56.6,87.3
138721318,-0.47,81.11,3.2,37.03,58.3,58.4,86.9
138914205,-0.47,79.18,3.3,37.03,60.4,60.4,86.9
139107092,-0.53,77.42,3.9,32.92,62.2,62.4,86.4
139299979,-0.53,75.48,4.0,32.92,64.4,64.6,86.4
139492866,-0.59,73.72,4.7,29.63,66.5,66.6,86.0
139685753,-0.59,71.79,4.9,29.63,68.9,69.0,85.9
139878640,-0.65,70.03,5.6,26.94,71.1,71.3,85.5
140071527,-0.65,68.27,5.9,26.94,73.4,73.7,85.4
140264414,-0.70,66.51,6.7,24.70,75.8,76.1,84.9
140457301,-0.70,64.75,7.0,24.70,78.4,78.7,84.9
140650188,-0.76,62.82,8.0,22.80,81.3,81.7,84.4
140843075,-0.76,61.06,8.5,22.80,84.2,84.6,84.3
141035962,-0.76,59.30,8.9,22.80,87.2,87.6,84.2
141228849,-0.82,57.54,10.1,21.17,90.2,90.8,83.6
141421736,-0.82,55.78,10.7,21.17,93.5,94.1,83.5
141614623,-0.82,54.02,11.4,21.17,97.0,97.7,83.3
141807510,-0.88,52.26,12.9,19.76,100.6,101.4,82.7
142000397,-0.88,50.50,13.7,19.76,104.5,105.4,82.5
142193284,-0.88,48.74,14.7,19.76,108.7,109.7,82.3
142386171,-0.88,46.98,15.7,19.76,113.2,114.3,82.1
142579058,-0.94,45.22,18.0,18.53,117.7,119.1,81.3
142771945,-0.94,43.46,19.3,18.53,122.8,124.3,81.1
142964832,-0.94,41.70,20.9,18.53,128.3,130.0,80.8
143157719,-0.94,39.94,22.6,18.53,134.2,136.1,80.4
143350606,-1.00,38.01,26.3,17.44,140.8,143.2,79.4
143543493,-1.00,36.25,28.7,17.44,147.7,150.5,79.0
143736380,-1.00,34.49,31.5,17.44,155.3,158.4,78.5
143929267,-1.00,32.73,34.8,17.44,163.5,167.2,78.0
144122154,-1.00,30.97,38.6,17.44,172.5,176.8,77.4
