Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
19291843,-0.00,42.05,0.0,?,130.1,130.1,90.0
19485700,-0.00,42.40,0.0,?,128.9,128.9,90.0
19679557,-0.00,42.76,0.0,?,127.7,127.7,90.0
19873414,0.06,43.28,1.2,296.19,126.0,126.0,89.4
20067271,0.06,43.81,1.2,296.19,124.3,124.3,89.4
20261128,0.06,44.34,1.2,296.19,122.7,122.7,89.4
20454985,0.06,44.69,1.2,296.19,121.6,121.6,89.4
20648842,0.06,45.22,1.1,296.19,120.0,120.1,89.5
20842699,-0.00,45.75,0.0,?,118.5,118.5,90.0
21036556,0.06,46.28,1.1,296.19,117.0,117.0,89.5
21230413,-0.00,46.63,0.0,?,116.0,116.0,90.0
21424270,-0.00,47.16,0.0,?,114.6,114.6,90.0
21618127,-0.00,47.68,0.0,?,113.1,113.1,90.0
21811984,-0.00,48.21,0.0,?,111.7,111.7,90.0
22005841,-0.00,48.74,0.0,?,110.4,110.4,90.0
22199698,-0.00,49.09,0.0,?,109.5,109.5,90.0
22393555,-0.00,49.62,0.0,?,108.2,108.2,90.0
22587412,-0.00,49.97,0.0,?,107.3,107.3,90.0
22781269,-0.00,50.50,0.0,?,106.0,106.0,90.0
22975126,-0.00,50.85,0.0,?,105.2,105.2,90.0
23168983,-0.00,51.38,0.0,?,103.9,103.9,90.0
23362840,-0.00,51.91,0.0,?,102.7,102.7,90.0
23556697,0.06,52.43,0.9,296.19,101.5,101.5,89.5
23750554,0.06,52.96,0.8,296.19,100.4,100.4,89.5
23944411,0.06,53.49,0.8,296.19,99.2,99.2,89.5
24138268,-0.00,54.02,0.0,?,98.1,98.1,90.0
24332125,0.06,54.37,0.8,296.19,97.3,97.4,89.5
24525982,0.06,54.90,0.8,296.19,96.3,96.3,89.5
24719839,0.06,55.43,0.8,296.19,95.2,95.2,89.5
24913696,0.06,55.95,0.8,296.19,94.1,94.1,89.5
25107553,0.06,56.48,0.8,296.19,93.1,93.1,89.5
25301410,0.06,56.83,0.7,296.19,92.4,92.4,89.5
25495267,0.06,57.36,0.7,296.19,91.4,91.4,89.5
25689124,0.06,57.89,0.7,296.19,90.4,90.4,89.5
25882981,0.06,58.24,0.7,296.19,89.8,89.8,89.5
26076838,0.06,58.77,0.7,296.19,88.8,88.8,89.5
26270695,0.06,59.30,0.7,296.19,87.8,87.8,89.6
26464552,0.06,59.82,0.7,296.19,86.9,86.9,89.6
26658409,0.06,60.35,0.7,296.19,86.0,86.0,89.6
26852266,0.06,60.70,0.7,296.19,85.4,85.4,89.6
27046123,-0.00,61.23,0.0,?,84.5,84.5,90.0
27239980,-0.00,61.76,0.0,?,83.6,83.6,90.0
27433837,-0.00,62.29,0.0,?,82.7,82.7,90.0
27627694,0.06,62.82,0.6,296.19,81.9,81.9,89.6
27821551,-0.00,63.34,0.0,?,81.0,81.0,90.0
28015408,0.06,63.87,0.6,296.19,80.2,80.2,89.6
28209265,0.06,64.22,0.6,296.19,79.7,79.7,89.6
28403122,0.06,64.75,0.6,296.19,78.9,78.9,89.6
28596979,0.06,65.28,0.6,296.19,78.1,78.1,89.6
28790836,0.06,65.81,0.6,296.19,77.3,77.3,89.6
28984693,0.06,66.33,0.6,296.19,76.5,76.5,89.6
29178550,0.06,66.86,0.6,296.19,75.7,75.7,89.6
29372407,0.06,67.39,0.5,296.19,75.0,75.0,89.6
29566264,0.06,67.92,0.5,296.19,74.2,74.2,89.6
29760121,0.06,68.27,0.5,296.19,73.8,73.8,89.6
29953978,0.06,68.80,0.5,296.19,73.0,73.0,89.6
30147835,0.06,69.33,0.5,296.19,72.3,72.3,89.6
30341692,0.06,69.85,0.5,296.19,71.6,71.6,89.6
30535549,0.06,70.38,0.5,296.19,70.9,70.9,89.6
30729406,0.06,70.91,0.5,296.19,70.2,70.2,89.6
30923263,0.06,71.44,0.5,296.19,69.5,69.5,89.6
31117120,0.06,71.96,0.5,296.19,68.9,68.9,89.6
31310977,0.06,72.32,0.5,296.19,68.4,68.4,89.6
31504834,0.06,72.84,0.5,296.19,67.8,67.8,89.6
31698691,-0.00,73.20,0.0,?,67.3,67.3,90.0
31892548,-0.00,73.72,0.0,?,66.7,66.7,90.0
32086405,-0.00,74.25,0.0,?,66.0,66.0,90.0
32280262,-0.00,74.60,0.0,?,65.6,65.6,90.0
32474119,-0.00,75.13,0.0,?,65.0,65.0,90.0
32667976,0.06,75.66,0.4,296.19,64.4,64.4,89.6
32861833,0.06,76.19,0.4,296.19,63.8,63.8,89.6
33055690,0.06,76.72,0.4,296.19,63.2,63.2,89.6
33249547,0.06,77.24,0.4,296.19,62.6,62.6,89.6
33443404,0.06,77.77,0.4,296.19,62.0,62.0,89.6
33637261,0.06,78.30,0.4,296.19,61.4,61.4,89.6
33831118,0.06,78.65,0.4,296.19,61.0,61.0,89.6
34024975,0.06,79.18,0.4,296.19,60.5,60.5,89.6
34218832,0.06,79.71,0.4,296.19,59.9,59.9,89.6
34412689,0.12,80.23,0.8,148.10,59.3,59.3,89.2
34606546,0.12,80.76,0.8,148.10,58.8,58.8,89.2
34800403,0.12,81.29,0.8,148.10,58.2,58.2,89.2
34994260,0.06,81.82,0.4,296.19,57.7,57.7,89.6
35188117,0.06,82.35,0.4,296.19,57.2,57.2,89.6
35381974,0.06,82.87,0.4,296.19,56.6,56.6,89.6
35575831,0.06,83.40,0.4,296.19,56.1,56.1,89.6
35769688,0.06,83.93,0.4,296.19,55.6,55.6,89.6
35963545,0.06,84.46,0.4,296.19,55.1,55.1,89.6
36157402,0.06,84.99,0.4,296.19,54.6,54.6,89.6
36351259,0.06,85.51,0.4,296.19,54.1,54.1,89.6
36545116,0.06,86.04,0.4,296.19,53.6,53.6,89.6
36738973,0.06,86.57,0.4,296.19,53.1,53.1,89.6
36932830,0.12,87.10,0.7,148.10,52.6,52.6,89.2
37126687,0.12,87.62,0.7,148.10,52.1,52.1,89.2
37320544,0.12,88.15,0.7,148.10,51.6,51.6,89.2
37514401,0.12,88.68,0.7,148.10,51.2,51.2,89.2
37708258,0.12,89.21,0.7,148.10,50.7,50.7,89.2
37902115,0.12,89.74,0.7,148.10,50.2,50.2,89.2
38095972,0.12,90.26,0.7,148.10,49.8,49.8,89.2
38289829,0.12,90.79,0.7,148.10,49.3,49.3,89.2
38483686,0.06,91.50,0.3,296.19,48.7,48.7,89.6
38677543,0.06,92.02,0.3,296.19,48.3,48.3,89.6
38871400,0.06,92.55,0.3,296.19,47.8,47.8,89.6
39065257,0.06,93.08,0.3,296.19,47.4,47.4,89.6
39259114,0.06,93.61,0.3,296.19,46.9,46.9,89.6
39452971,0.06,94.13,0.3,296.19,46.5,46.5,89.6
39646828,0.06,94.66,0.3,296.19,46.1,46.1,89.6
39840685,0.12,95.37,0.6,148.10,45.5,45.5,89.2
40034542,0.12,95.89,0.6,148.10,45.1,45.1,89.2
40228399,0.12,96.42,0.6,148.10,44.7,44.7,89.2
40422256,0.12,96.95,0.6,148.10,44.3,44.3,89.2
40616113,0.12,97.48,0.6,148.10,43.9,43.9,89.2
40809970,0.12,98.01,0.6,148.10,43.5,43.5,89.2
41003827,0.12,98.53,0.6,148.10,43.1,43.1,89.2
41197684,0.12,99.06,0.6,148.10,42.7,42.7,89.2
41391541,0.06,99.59,0.3,296.19,42.3,42.3,89.6
41585398,0.06,100.29,0.3,296.19,41.7,41.7,89.6
41779255,0.06,100.82,0.3,296.19,41.3,41.3,89.6
41973112,0.06,101.35,0.3,296.19,41.0,41.0,89.6
42166969,0.06,101.88,0.3,296.19,40.6,40.6,89.6
42360826,0.06,102.40,0.3,296.19,40.2,40.2,89.6
42554683,0.06,102.93,0.3,296.19,39.8,39.8,89.6
42748540,0.12,103.46,0.5,148.10,39.4,39.4,89.2
42942397,0.12,104.16,0.5,148.10,38.9,38.9,89.2
43136254,0.12,104.69,0.5,148.10,38.6,38.6,89.2
43330111,0.12,105.22,0.5,148.10,38.2,38.2,89.2
43523968,0.12,105.75,0.5,148.10,37.8,37.9,89.2
43717825,0.12,106.28,0.5,148.10,37.5,37.5,89.2
43911682,0.12,106.98,0.5,148.10,37.0,37.0,89.2
44105539,0.12,107.51,0.5,148.10,36.7,36.7,89.2
44299396,0.06,108.04,0.3,296.19,36.3,36.3,89.6
44493253,0.06,108.56,0.3,296.19,36.0,36.0,89.6
44687110,0.06,109.27,0.3,296.19,35.5,35.5,89.6
44880967,0.06,109.79,0.3,296.19,35.1,35.1,89.6
45074824,0.06,110.50,0.3,296.19,34.7,34.7,89.6
45268681,0.12,111.03,0.5,148.10,34.3,34.3,89.2
45462538,0.06,111.73,0.2,296.19,33.9,33.9,89.6
45656395,0.06,112.26,0.2,296.19,33.6,33.6,89.6
45850252,0.12,112.79,0.5,148.10,33.2,33.2,89.2
46044109,0.06,113.49,0.2,296.19,32.8,32.8,89.6
46237966,0.12,114.02,0.5,148.10,32.5,32.5,89.2
46431823,0.12,114.72,0.5,148.10,32.0,32.0,89.1
46625680,0.12,115.25,0.5,148.10,31.7,31.7,89.1
46819537,0.12,115.78,0.5,148.10,31.4,31.4,89.1
47013394,0.06,116.48,0.2,296.19,31.0,31.0,89.6
47207251,0.06,117.01,0.2,296.19,30.6,30.6,89.6
47401108,0.06,117.54,0.2,296.19,30.3,30.3,89.6
47594965,0.06,118.24,0.2,296.19,29.9,29.9,89.6
47788822,0.06,118.77,0.2,296.19,29.6,29.6,89.6
47982679,0.06,119.47,0.2,296.19,29.2,29.2,89.6
48176536,0.06,120.00,0.2,296.19,28.9,28.9,89.6
48370393,0.06,120.70,0.2,296.19,28.5,28.5,89.6
48564250,0.06,121.23,0.2,296.19,28.2,28.2,89.5
48758107,0.06,121.94,0.2,296.19,27.8,27.8,89.5
48951964,0.06,122.46,0.2,296.19,27.5,27.5,89.5
49145821,0.06,123.17,0.2,296.19,27.1,27.1,89.5
49339678,-0.00,123.70,0.0,?,26.8,26.8,90.0
49533535,-0.00,124.40,0.0,?,26.4,26.4,90.0
49727392,-0.00,125.10,0.0,?,26.0,26.0,90.0
49921249,-0.00,125.81,0.0,?,25.6,25.6,90.0
50115106,-0.00,126.51,0.0,?,25.2,25.2,90.0
50308963,-0.00,127.21,0.0,?,24.8,24.8,90.0
50502820,-0.00,127.92,0.0,?,24.4,24.4,90.0
50696677,-0.00,128.62,0.0,?,24.1,24.1,90.0
50890534,-0.06,129.15,0.2,296.19,23.8,23.8,89.5
51084391,-0.06,129.85,0.2,296.19,23.4,23.4,89.5
51278248,-0.06,130.56,0.2,296.19,23.0,23.0,89.5
51472105,-0.06,131.09,0.2,296.19,22.7,22.7,89.5
51665962,-0.12,131.79,0.4,148.10,22.4,22.4,89.0
51859819,-0.12,132.49,0.4,148.10,22.0,22.0,89.0
52053676,-0.18,133.02,0.6,98.73,21.7,21.7,88.4
52247533,-0.18,133.72,0.6,98.73,21.4,21.4,88.4
52441390,-0.18,134.25,0.6,98.73,21.1,21.1,88.4
52635247,-0.23,134.96,0.8,74.05,20.7,20.7,87.8
52829104,-0.23,135.66,0.8,74.05,20.4,20.4,87.8
53022961,-0.23,136.19,0.8,74.05,20.1,20.1,87.8
53216818,-0.23,136.89,0.8,74.05,19.7,19.8,87.7
53410675,-0.23,137.42,0.8,74.05,19.5,19.5,87.7
53604532,-0.23,138.12,0.8,74.05,19.1,19.1,87.7
53798389,-0.29,138.83,1.0,59.24,18.8,18.8,87.1
53992246,-0.29,139.35,1.0,59.24,18.5,18.5,87.0
54186103,-0.29,140.06,1.0,59.24,18.2,18.2,87.0
54379960,-0.35,140.76,1.1,49.37,17.8,17.9,86.3
54573817,-0.41,141.29,1.3,42.32,17.6,17.6,85.7
54767674,-0.41,141.99,1.3,42.32,17.2,17.3,85.6
54961531,-0.41,142.70,1.3,42.32,16.9,16.9,85.5
55155388,-0.41,143.23,1.3,42.32,16.6,16.7,85.5
55349245,-0.47,143.93,1.5,37.03,16.3,16.3,84.8
55543102,-0.47,144.63,1.5,37.03,15.9,16.0,84.7
55736959,-0.47,145.16,1.5,37.03,15.7,15.7,84.6
55930816,-0.53,145.87,1.7,32.92,15.3,15.4,83.8
56124673,-0.53,146.57,1.7,32.92,15.0,15.1,83.7
56318530,-0.59,147.10,1.8,29.63,14.7,14.9,82.9
56512387,-0.59,147.80,1.8,29.63,14.4,14.5,82.8
56706244,-0.65,148.50,2.0,26.94,14.1,14.2,81.9
56900101,-0.70,149.03,2.2,24.70,13.8,14.0,81.0
57093958,-0.70,149.56,2.2,24.70,13.6,13.8,80.9
57287815,-0.76,150.26,2.3,22.80,13.2,13.5,80.0
57481672,-0.76,150.79,2.3,22.80,13.0,13.2,79.8
57675529,-0.82,151.32,2.5,21.17,12.8,13.0,78.8
57869386,-0.82,152.02,2.5,21.17,12.4,12.7,78.6
58063243,-0.88,152.55,2.7,19.76,12.2,12.5,77.6
58257100,-0.88,153.08,2.7,19.76,11.9,12.2,77.4
58450957,-0.94,153.61,2.8,18.53,11.7,12.0,76.3
58644814,-0.94,154.13,2.8,18.53,11.4,11.8,76.1
58838671,-1.06,154.66,3.2,16.48,11.2,11.6,74.1
59032528,-1.06,155.19,3.2,16.48,11.0,11.4,73.8
59226385,-1.06,155.72,3.2,16.48,10.7,11.2,73.5
59420242,-1.11,156.07,3.3,15.61,10.6,11.1,72.4
59614099,-1.11,156.60,3.3,15.61,10.3,10.8,72.1
59807956,-1.11,157.13,3.3,15.61,10.1,10.6,71.7
60001813,-1.17,157.48,3.5,14.83,9.9,10.5,70.5
60195670,-1.17,158.01,3.5,14.83,9.7,10.3,70.1
60389527,-1.17,158.36,3.5,14.83,9.5,10.1,69.8
60583384,-1.17,158.71,3.5,14.83,9.4,10.0,69.5
60777241,-1.17,159.24,3.5,14.83,9.1,9.8,69.1
60971098,-1.23,159.77,3.7,14.13,8.9,9.6,67.6
61164955,-1.23,160.29,3.6,14.13,8.6,9.4,67.1
61358812,-1.23,160.82,3.6,14.13,8.4,9.2,66.6
61552669,-1.23,161.52,3.6,14.13,8.1,8.9,65.8
61746526,-1.23,162.05,3.6,14.13,7.9,8.7,65.2
61940383,-1.23,162.58,3.6,14.13,7.6,8.4,64.6
62134240,-1.23,163.11,3.6,14.13,7.4,8.2,63.9
62328097,-1.23,163.64,3.6,14.13,7.2,8.0,63.2
62521954,-1.23,164.34,3.6,14.13,6.8,7.7,62.2
62715811,-1.23,164.87,3.6,14.13,6.6,7.5,61.4
62909668,-1.17,165.40,3.4,14.83,6.4,7.2,61.8
63103525,-1.17,166.10,3.4,14.83,6.1,7.0,60.6
63297382,-1.17,166.63,3.4,14.83,5.8,6.8,59.6
63491239,-1.23,167.33,3.6,14.13,5.5,6.6,57.0
63685096,-1.23,168.21,3.6,14.13,5.1,6.3,55.1
63878953,-1.23,168.91,3.6,14.13,4.8,6.0,53.5
64072810,-1.23,169.62,3.6,14.13,4.5,5.8,51.7
64266667,-1.23,170.50,3.6,14.13,4.1,5.5,49.2
64460524,-1.29,171.20,3.7,13.49,3.8,5.3,45.7
