Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
1000000,0.29,101.88,1.4,59.36,40.6,40.6,88.0
1063577,0.59,136.89,1.9,29.69,19.7,19.8,84.4
1127154,0.59,134.43,2.0,29.69,21.0,21.1,84.6
1190731,0.53,131.96,1.8,32.98,22.3,22.3,85.3
1254308,0.53,129.33,1.9,32.98,23.6,23.7,85.5
1317885,0.53,126.69,1.9,32.98,25.1,25.1,85.7
1381462,0.45,124.05,1.6,38.90,26.5,26.6,86.4
1445039,0.41,121.58,1.5,42.40,27.9,28.0,86.8
1508616,0.35,118.94,1.4,49.47,29.5,29.5,87.4
1572193,0.35,116.48,1.4,49.47,30.9,31.0,87.4
1635770,0.29,113.84,1.2,59.36,32.6,32.6,87.9
1699347,0.29,111.38,1.2,59.36,34.1,34.1,87.9
1762924,0.23,108.74,1.0,74.20,35.8,35.8,88.4
1826501,0.23,106.28,1.1,74.20,37.5,37.5,88.4
1890078,0.18,103.81,0.8,98.93,39.2,39.2,88.8
1953655,0.18,101.17,0.8,98.93,41.1,41.1,88.8
2017232,0.06,98.71,0.3,288.68,42.9,42.9,89.6
2080809,0.06,96.07,0.3,296.77,45.0,45.0,89.6
2144386,-0.00,93.61,0.0,?,46.9,46.9,90.0
2207963,-0.00,91.14,0.0,?,49.0,49.0,90.0
2271540,-0.06,88.50,0.3,296.77,51.3,51.3,89.6
2335117,-0.06,86.04,0.4,296.77,53.6,53.6,89.6
2398694,-0.12,83.58,0.8,148.39,55.9,55.9,89.2
2462271,-0.12,81.11,0.8,148.39,58.4,58.4,89.2
2525848,-0.18,78.65,1.3,98.93,61.0,61.0,88.8
2589425,-0.18,76.19,1.3,98.93,63.8,63.8,88.8
2653002,-0.23,73.72,1.9,74.20,66.7,66.7,88.4
2716579,-0.23,71.26,2.0,74.20,69.7,69.8,88.4
2780156,-0.29,68.80,2.6,59.36,73.0,73.0,87.9
2843733,-0.29,66.33,2.8,59.36,76.4,76.5,87.9
2907310,-0.35,63.87,3.6,49.47,80.1,80.2,87.4
2970887,-0.35,61.41,3.9,49.47,84.1,84.2,87.4
3034464,-0.41,58.94,4.9,42.40,88.3,88.4,86.8
3098041,-0.47,56.48,6.0,37.13,92.8,93.0,86.3
3161618,-0.53,54.02,7.3,32.98,97.7,97.9,85.7
3225195,-0.59,51.55,8.9,29.69,102.9,103.3,85.1
3288772,-0.59,49.09,9.7,29.69,108.8,109.2,84.9
3352349,-0.64,46.63,11.7,26.99,115.0,115.6,84.2
3415926,-0.70,44.16,14.2,24.74,121.8,122.7,83.4
3479503,-0.70,41.70,15.8,24.74,129.6,130.6,83.1
3543080,-0.76,39.41,19.0,22.84,137.3,138.6,82.1
3606657,-0.82,36.95,23.0,21.21,146.4,148.2,81.1
3670234,-0.88,34.49,28.0,19.80,156.5,159.0,79.9
3733811,-0.94,32.02,34.2,18.57,167.8,171.3,78.5
3797388,-1.00,29.56,42.0,17.48,180.4,185.2,76.9
3860965,-1.00,27.27,48.8,17.48,194.6,200.6,75.9
3924542,-1.05,24.81,61.0,16.51,210.5,219.2,73.8
3988119,-1.11,22.35,77.1,15.64,228.2,240.9,71.3
4051696,-1.17,19.88,98.4,14.86,247.5,266.3,68.3
4115273,-1.23,17.42,127.0,14.16,267.8,296.4,64.6
4178850,-1.29,14.96,165.8,13.51,287.5,331.8,60.0
4242427,-1.35,12.49,217.9,12.93,302.8,373.1,54.3
4306004,-1.40,10.21,280.8,12.39,306.2,415.5,47.5
4369581,-1.46,7.74,362.6,11.90,288.6,463.4,38.5
4433158,-1.54,5.45,439.7,11.33,234.9,498.5,28.1
4496735,-1.70,3.52,467.3,10.27,145.8,489.5,17.3
4560312,-1.76,2.11,480.4,9.93,86.9,488.2,10.3
4623889,-1.81,1.41,473.9,9.61,55.3,477.1,6.7
4687466,-1.87,1.23,460.9,9.31,45.6,463.2,5.6
4751043,-1.93,1.23,447.3,9.03,42.9,449.4,5.5
4814620,-2.05,1.76,418.9,8.52,54.0,422.3,7.3
4878197,-2.11,2.82,398.0,8.28,79.8,405.9,11.3
4941774,-2.22,4.57,358.0,7.85,110.3,374.6,17.1
5005351,-2.28,6.69,320.0,7.65,140.1,349.3,23.7
5068928,-2.40,9.15,273.6,7.28,155.5,314.7,29.6
