Frequency(Hz),Transmission Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
100000000,-6.04,98.71,0.0,0.00,0.0,0.0,0.0
100086206,-5.81,90.09,0.0,0.00,0.0,0.0,0.0
100172412,-5.81,90.09,0.0,0.00,0.0,0.0,0.0
100258618,-5.81,90.26,0.0,0.00,0.0,0.0,0.0
100344824,-5.81,90.26,0.0,0.00,0.0,0.0,0.0
100431030,-5.81,90.44,0.0,0.00,0.0,0.0,0.0
100517236,-5.81,90.44,0.0,0.00,0.0,0.0,0.0
100603442,-5.81,90.62,0.0,0.00,0.0,0.0,0.0
100689648,-5.81,90.62,0.0,0.00,0.0,0.0,0.0
100775854,-5.81,90.79,0.0,0.00,0.0,0.0,0.0
100862060,-5.81,90.79,0.0,0.00,0.0,0.0,0.0
100948266,-5.81,90.79,0.0,0.00,0.0,0.0,0.0
101034472,-5.81,90.97,0.0,0.00,0.0,0.0,0.0
101120678,-5.81,90.97,0.0,0.00,0.0,0.0,0.0
101206884,-5.81,91.14,0.0,0.00,0.0,0.0,0.0
101293090,-5.81,91.14,0.0,0.00,0.0,0.0,0.0
101379296,-5.81,91.32,0.0,0.00,0.0,0.0,0.0
101465502,-5.81,91.32,0.0,0.00,0.0,0.0,0.0
101551708,-5.81,91.50,0.0,0.00,0.0,0.0,0.0
101637914,-5.81,91.50,0.0,0.00,0.0,0.0,0.0
101724120,-5.81,91.67,0.0,0.00,0.0,0.0,0.0
101810326,-5.81,91.67,0.0,0.00,0.0,0.0,0.0
101896532,-5.81,91.67,0.0,0.00,0.0,0.0,0.0
101982738,-5.81,91.85,0.0,0.00,0.0,0.0,0.0
102068944,-5.81,91.85,0.0,0.00,0.0,0.0,0.0
102155150,-5.81,92.02,0.0,0.00,0.0,0.0,0.0
102241356,-5.81,92.02,0.0,0.00,0.0,0.0,0.0
102327562,-5.81,92.20,0.0,0.00,0.0,0.0,0.0
102413768,-5.81,92.20,0.0,0.00,0.0,0.0,0.0
102499974,-5.81,92.38,0.0,0.00,0.0,0.0,0.0
102586180,-5.81,92.38,0.0,0.00,0.0,0.0,0.0
102672386,-5.81,92.55,0.0,0.00,0.0,0.0,0.0
102758592,-5.81,92.55,0.0,0.00,0.0,0.0,0.0
102844798,-5.81,92.55,0.0,0.00,0.0,0.0,0.0
102931004,-5.81,92.73,0.0,0.00,0.0,0.0,0.0
103017210,-5.81,92.73,0.0,0.00,0.0,0.0,0.0
103103416,-5.81,92.90,0.0,0.00,0.0,0.0,0.0
103189622,-5.81,92.90,0.0,0.00,0.0,0.0,0.0
103275828,-5.81,93.08,0.0,0.00,0.0,0.0,0.0
103362034,-5.81,93.08,0.0,0.00,0.0,0.0,0.0
103448240,-5.81,93.26,0.0,0.00,0.0,0.0,0.0
103534446,-5.81,93.26,0.0,0.00,0.0,0.0,0.0
103620652,-5.81,93.26,0.0,0.00,0.0,0.0,0.0
103706858,-5.81,93.43,0.0,0.00,0.0,0.0,0.0
103793064,-5.81,93.43,0.0,0.00,0.0,0.0,0.0
103879270,-5.81,93.61,0.0,0.00,0.0,0.0,0.0
103965476,-5.81,93.61,0.0,0.00,0.0,0.0,0.0
104051682,-5.81,93.78,0.0,0.00,0.0,0.0,0.0
104137888,-5.81,93.78,0.0,0.00,0.0,0.0,0.0
104224094,-5.81,93.96,0.0,0.00,0.0,0.0,0.0
104310300,-5.81,93.96,0.0,0.00,0.0,0.0,0.0
104396506,-5.81,94.13,0.0,0.00,0.0,0.0,0.0
104482712,-5.81,94.13,0.0,0.00,0.0,0.0,0.0
104568918,-5.81,94.31,0.0,0.00,0.0,0.0,0.0
104655124,-5.81,94.31,0.0,0.00,0.0,0.0,0.0
104741330,-5.81,94.31,0.0,0.00,0.0,0.0,0.0
104827536,-5.81,94.49,0.0,0.00,0.0,0.0,0.0
104913742,-5.75,94.49,0.0,0.00,0.0,0.0,0.0
104999948,-5.75,94.66,0.0,0.00,0.0,0.0,0.0
105086154,-5.75,94.66,0.0,0.00,0.0,0.0,0.0
105172360,-5.75,94.84,0.0,0.00,0.0,0.0,0.0
105258566,-5.75,94.84,0.0,0.00,0.0,0.0,0.0
105344772,-5.75,95.01,0.0,0.00,0.0,0.0,0.0
105430978,-5.75,95.01,0.0,0.00,0.0,0.0,0.0
105517184,-5.75,95.19,0.0,0.00,0.0,0.0,0.0
105603390,-5.75,95.19,0.0,0.00,0.0,0.0,0.0
105689596,-5.75,95.19,0.0,0.00,0.0,0.0,0.0
105775802,-5.75,95.37,0.0,0.00,0.0,0.0,0.0
105862008,-5.75,95.37,0.0,0.00,0.0,0.0,0.0
105948214,-5.75,95.54,0.0,0.00,0.0,0.0,0.0
106034420,-5.75,95.54,0.0,0.00,0.0,0.0,0.0
106120626,-5.75,95.72,0.0,0.00,0.0,0.0,0.0
106206832,-5.75,95.72,0.0,0.00,0.0,0.0,0.0
106293038,-5.75,95.89,0.0,0.00,0.0,0.0,0.0
106379244,-5.75,95.89,0.0,0.00,0.0,0.0,0.0
106465450,-5.75,95.89,0.0,0.00,0.0,0.0,0.0
106551656,-5.75,96.07,0.0,0.00,0.0,0.0,0.0
106637862,-5.75,96.07,0.0,0.00,0.0,0.0,0.0
106724068,-5.75,96.25,0.0,0.00,0.0,0.0,0.0
106810274,-5.81,96.25,0.0,0.00,0.0,0.0,0.0
106896480,-5.75,96.42,0.0,0.00,0.0,0.0,0.0
106982686,-5.75,96.42,0.0,0.00,0.0,0.0,0.0
107068892,-5.81,96.60,0.0,0.00,0.0,0.0,0.0
107155098,-5.75,96.60,0.0,0.00,0.0,0.0,0.0
107241304,-5.75,96.77,0.0,0.00,0.0,0.0,0.0
