Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
5076425,-1.70,127.21,6.1,10.25,24.5,25.3,76.1
5118450,-1.76,126.69,6.3,9.91,24.8,25.6,75.7
5160475,-1.82,126.33,6.5,9.59,24.9,25.8,75.3
5202500,-1.82,125.81,6.6,9.59,25.2,26.1,75.4
5244525,-1.88,125.45,6.8,9.29,25.4,26.3,75.0
5286550,-1.94,124.93,7.0,9.01,25.7,26.6,74.7
5328575,-1.94,124.40,7.1,9.01,25.9,26.9,74.8
5370600,-1.99,124.05,7.3,8.75,26.1,27.1,74.4
5412625,-2.05,123.70,7.5,8.50,26.3,27.3,74.0
5454650,-2.11,123.17,7.8,8.27,26.5,27.7,73.7
5496675,-2.11,122.64,7.8,8.27,26.8,28.0,73.7
5538700,-2.17,122.29,8.1,8.05,27.0,28.2,73.4
5580725,-2.23,121.76,8.3,7.84,27.3,28.5,73.0
5622750,-2.29,121.41,8.6,7.64,27.4,28.7,72.7
5664775,-2.35,120.88,8.8,7.45,27.7,29.1,72.3
5706800,-2.35,120.53,8.8,7.45,27.9,29.3,72.4
5748825,-2.40,120.18,9.1,7.27,28.0,29.5,72.0
5790850,-2.46,119.65,9.4,7.10,28.3,29.8,71.7
5832875,-2.52,119.30,9.6,6.94,28.5,30.0,71.3
5874900,-2.58,118.77,9.9,6.78,28.7,30.4,71.0
5916925,-2.58,118.24,9.9,6.78,29.0,30.7,71.1
5958950,-2.64,117.89,10.2,6.63,29.2,30.9,70.8
6000975,-2.70,117.54,10.4,6.49,29.3,31.1,70.4
6043000,-2.76,117.01,10.7,6.35,29.6,31.5,70.1
6085025,-2.82,116.48,11.0,6.22,29.9,31.8,69.8
6127050,-2.87,116.13,11.3,6.10,30.0,32.1,69.4
6169075,-2.87,115.60,11.3,6.10,30.3,32.4,69.5
6211100,-2.93,115.25,11.6,5.98,30.5,32.6,69.2
6253125,-2.99,114.72,11.9,5.86,30.7,32.9,68.9
6295150,-3.05,114.37,12.1,5.75,30.9,33.2,68.5
6337175,-3.11,113.84,12.4,5.65,31.1,33.5,68.2
6379200,-3.17,113.49,12.7,5.55,31.3,33.8,67.9
6421225,-3.23,113.14,13.0,5.45,31.4,34.0,67.5
6463250,-3.28,112.61,13.3,5.35,31.7,34.4,67.2
6505275,-3.34,112.26,13.6,5.26,31.8,34.6,66.9
6547300,-3.40,111.73,13.9,5.17,32.1,34.9,66.6
6589325,-3.40,111.38,13.9,5.17,32.3,35.2,66.7
6631350,-3.46,110.85,14.2,5.09,32.5,35.5,66.4
6673375,-3.52,110.50,14.5,5.00,32.7,35.8,66.0
6715400,-3.58,109.97,14.8,4.92,32.9,36.1,65.7
6757425,-3.64,109.62,15.1,4.85,33.1,36.4,65.4
6799450,-3.70,109.09,15.4,4.77,33.3,36.7,65.1
6841475,-3.75,108.74,15.7,4.70,33.4,37.0,64.8
6883500,-3.81,108.21,16.1,4.63,33.7,37.3,64.5
6925525,-3.87,107.86,16.4,4.56,33.8,37.6,64.2
6967550,-3.93,107.51,16.7,4.50,33.9,37.8,63.9
7009575,-3.99,106.98,17.0,4.43,34.2,38.2,63.6
7051600,-4.05,106.63,17.3,4.37,34.3,38.4,63.3
7093625,-4.11,106.10,17.6,4.31,34.5,38.8,63.0
7135650,-4.16,105.75,17.9,4.25,34.7,39.0,62.6
7177675,-4.22,105.22,18.3,4.19,34.9,39.4,62.3
7219700,-4.28,104.87,18.6,4.14,35.0,39.6,62.0
7261725,-4.34,104.34,18.9,4.09,35.2,40.0,61.7
7303750,-4.40,103.99,19.2,4.03,35.3,40.2,61.4
7345775,-4.46,103.46,19.6,3.98,35.6,40.6,61.1
7387800,-4.52,103.11,19.9,3.93,35.7,40.9,60.8
7429825,-4.57,102.76,20.2,3.88,35.8,41.1,60.5
7471850,-4.69,102.23,20.8,3.79,35.9,41.5,59.9
7513875,-4.75,101.88,21.1,3.75,36.0,41.7,59.6
7555900,-4.81,101.35,21.5,3.70,36.2,42.1,59.3
7597925,-4.87,101.00,21.8,3.66,36.3,42.4,59.0
7639950,-4.93,100.47,22.2,3.62,36.5,42.7,58.7
7681975,-4.99,100.12,22.5,3.58,36.6,43.0,58.4
7724000,-5.04,99.59,22.9,3.54,36.8,43.3,58.1
7766025,-5.10,99.24,23.2,3.50,36.9,43.6,57.8
7808050,-5.22,98.89,23.8,3.43,36.9,43.9,57.2
7850075,-5.28,98.36,24.2,3.39,37.0,44.2,56.9
7892100,-5.34,98.01,24.5,3.36,37.1,44.5,56.6
7934125,-5.40,97.48,24.9,3.32,37.3,44.8,56.3
7976150,-5.45,97.13,25.2,3.29,37.4,45.1,56.0
8018175,-5.51,96.60,25.6,3.26,37.5,45.5,55.7
8060200,-5.63,96.25,26.2,3.19,37.5,45.7,55.1
8102225,-5.69,95.72,26.6,3.16,37.6,46.1,54.8
8144250,-5.75,95.37,26.9,3.13,37.7,46.3,54.5
8186275,-5.81,94.84,27.3,3.10,37.9,46.7,54.2
8228300,-5.87,94.49,27.7,3.07,37.9,46.9,53.9
8270325,-5.98,93.96,28.3,3.02,37.9,47.3,53.3
8312350,-6.04,93.61,28.6,2.99,38.0,47.5,53.0
8354375,-6.10,93.08,29.0,2.96,38.1,47.9,52.7
8396400,-6.16,92.73,29.4,2.94,38.1,48.1,52.4
8438425,-6.28,92.20,30.0,2.89,38.1,48.5,51.8
8480450,-6.33,91.85,30.4,2.86,38.1,48.8,51.5
8522475,-6.39,91.50,30.7,2.84,38.2,49.0,51.2
8564500,-6.51,90.97,31.3,2.79,38.1,49.4,50.6
8606525,-6.57,90.62,31.7,2.77,38.1,49.6,50.3
8648550,-6.63,90.09,32.1,2.75,38.3,49.9,50.0
8690575,-6.69,89.74,32.5,2.73,38.3,50.2,49.7
8732600,-6.80,89.21,33.1,2.68,38.2,50.5,49.1
8774625,-6.86,88.86,33.4,2.66,38.2,50.8,48.8
8816650,-6.98,88.33,34.0,2.62,38.1,51.1,48.2
8858675,-7.04,87.98,34.4,2.60,38.1,51.3,47.9
8900700,-7.10,87.45,34.8,2.58,38.2,51.7,47.6
8942725,-7.21,87.10,35.4,2.54,38.0,51.9,47.1
8984750,-7.27,86.57,35.8,2.53,38.1,52.2,46.8
9026775,-7.39,86.22,36.3,2.49,37.8,52.4,46.2
9068800,-7.45,85.69,36.7,2.47,37.9,52.8,45.9
9110825,-7.51,85.34,37.1,2.46,37.9,53.0,45.6
9152850,-7.62,84.81,37.7,2.42,37.7,53.3,45.0
9194875,-7.68,84.46,38.0,2.41,37.7,53.5,44.7
9236900,-7.80,84.11,38.5,2.37,37.4,53.7,44.2
9278925,-7.86,83.58,39.0,2.36,37.5,54.1,43.9
9320950,-7.98,83.23,39.5,2.33,37.2,54.2,43.3
9362975,-8.04,82.70,39.9,2.31,37.2,54.6,43.0
9405000,-8.15,82.35,40.4,2.29,37.0,54.7,42.5
9447025,-8.21,81.82,40.8,2.27,37.0,55.1,42.2
9489050,-8.33,81.47,41.3,2.24,36.7,55.2,41.6
9531075,-8.39,80.94,41.7,2.23,36.7,55.5,41.3
9573100,-8.50,80.59,42.2,2.20,36.4,55.7,40.8
9615125,-8.62,80.06,42.7,2.18,36.2,56.0,40.2
9657150,-8.68,79.71,43.1,2.17,36.1,56.2,40.0
9699175,-8.80,79.18,43.6,2.14,35.8,56.4,39.4
9741200,-8.80,78.83,43.8,2.14,35.9,56.7,39.4
9783225,-8.91,78.30,44.3,2.12,35.7,56.9,38.8
9825250,-9.03,77.95,44.8,2.09,35.4,57.1,38.3
9867275,-9.09,77.42,45.2,2.08,35.3,57.3,38.0
9909300,-9.21,77.07,45.6,2.06,35.0,57.5,37.5
9951325,-9.33,76.54,46.1,2.04,34.7,57.7,37.0
9993350,-9.44,76.19,46.5,2.02,34.4,57.8,36.5
10035375,-9.50,75.66,46.9,2.01,34.3,58.1,36.2
10077400,-9.62,75.13,47.4,1.99,34.0,58.3,35.6
10119425,-9.74,74.78,47.8,1.97,33.6,58.4,35.1
10161450,-9.79,74.25,48.2,1.96,33.5,58.7,34.8
10203475,-9.91,73.90,48.5,1.94,33.2,58.8,34.4
10245500,-10.03,73.37,49.0,1.92,32.9,59.0,33.8
10287525,-10.15,72.84,49.5,1.90,32.5,59.2,33.3
10329550,-10.26,72.49,49.8,1.89,32.2,59.3,32.9
10371575,-10.38,71.96,50.2,1.87,31.8,59.5,32.4
10413600,-10.44,71.61,50.5,1.86,31.7,59.6,32.1
10455625,-10.56,71.09,50.9,1.84,31.3,59.8,31.6
10497650,-10.67,70.56,51.3,1.83,31.0,59.9,31.1
10539675,-10.79,70.21,51.6,1.81,30.6,60.0,30.7
10581700,-10.91,69.68,52.0,1.80,30.2,60.2,30.2
10623725,-11.03,69.15,52.4,1.78,29.9,60.3,29.7
10665750,-11.14,68.80,52.7,1.77,29.5,60.4,29.2
10707775,-11.26,68.27,53.0,1.75,29.1,60.5,28.8
10749800,-11.38,67.74,53.4,1.74,28.8,60.6,28.3
10791825,-11.50,67.21,53.7,1.73,28.4,60.8,27.8
10833850,-11.61,66.86,54.0,1.71,28.0,60.8,27.4
10875875,-11.73,66.33,54.3,1.70,27.6,60.9,27.0
10917900,-11.91,65.81,54.6,1.68,27.0,61.0,26.3
10959925,-12.02,65.28,54.9,1.67,26.7,61.1,25.9
11001950,-12.14,64.75,55.2,1.66,26.3,61.2,25.5
11043975,-12.26,64.22,55.5,1.64,25.9,61.2,25.0
11086000,-12.38,63.87,55.7,1.63,25.5,61.3,24.6
11128025,-12.49,63.17,56.0,1.62,25.2,61.4,24.2
11170050,-12.61,62.82,56.2,1.61,24.8,61.4,23.8
11212075,-12.79,62.29,56.4,1.60,24.2,61.4,23.2
11254100,-12.90,61.76,56.7,1.59,23.8,61.5,22.8
11296125,-13.02,61.23,56.9,1.58,23.4,61.5,22.4
11338150,-13.14,60.53,57.2,1.57,23.1,61.7,22.0
11380175,-13.31,60.00,57.4,1.55,22.5,61.6,21.4
11422200,-13.43,59.47,57.6,1.54,22.1,61.7,21.0
11464225,-13.55,58.94,57.8,1.53,21.8,61.7,20.6
11506250,-13.72,58.42,57.9,1.52,21.2,61.7,20.1
11548275,-13.84,57.89,58.1,1.51,20.9,61.7,19.8
11590300,-14.02,57.36,58.2,1.50,20.3,61.7,19.2
11632325,-14.13,56.66,58.4,1.49,19.9,61.7,18.9
11674350,-14.31,56.13,58.5,1.48,19.4,61.7,18.4
11716375,-14.43,55.60,58.7,1.47,19.1,61.7,18.0
11758400,-14.60,54.90,58.8,1.46,18.6,61.7,17.5
11800425,-14.72,54.37,58.9,1.45,18.2,61.7,17.2
11842450,-14.90,53.67,59.1,1.44,17.7,61.7,16.7
11884475,-15.01,53.14,59.2,1.43,17.4,61.7,16.3
11926500,-15.19,52.43,59.3,1.42,16.9,61.6,15.9
11968525,-15.37,51.73,59.4,1.41,16.4,61.6,15.4
12010550,-15.54,51.20,59.4,1.40,15.9,61.5,15.0
12052575,-15.66,50.50,59.5,1.39,15.6,61.5,14.7
12094600,-15.84,49.79,59.6,1.39,15.1,61.4,14.2
12136625,-16.01,49.09,59.6,1.38,14.6,61.4,13.8
12178650,-16.19,48.39,59.7,1.37,14.2,61.3,13.4
12220675,-16.36,47.68,59.7,1.36,13.7,61.2,13.0
12262700,-16.54,46.98,59.7,1.35,13.3,61.2,12.6
12304725,-16.72,46.28,59.7,1.34,12.9,61.1,12.2
12346750,-16.89,45.40,59.8,1.33,12.4,61.0,11.7
12388775,-17.07,44.69,59.8,1.33,12.0,60.9,11.4
12430800,-17.24,43.81,59.8,1.32,11.6,60.9,11.0
12472825,-17.42,43.11,59.8,1.31,11.2,60.8,10.6
12514850,-17.65,42.23,59.7,1.30,10.7,60.7,10.2
12556875,-17.83,41.35,59.7,1.29,10.3,60.6,9.8
12598900,-18.01,40.47,59.7,1.29,9.9,60.5,9.4
12640925,-18.18,39.59,59.7,1.28,9.5,60.4,9.1
12682950,-18.42,38.71,59.6,1.27,9.1,60.3,8.7
12724975,-18.59,37.83,59.5,1.27,8.7,60.2,8.3
12767000,-18.83,36.77,59.5,1.26,8.3,60.0,7.9
12809025,-19.00,35.89,59.4,1.25,7.9,59.9,7.6
12851050,-19.24,34.84,59.3,1.25,7.5,59.8,7.2
12893075,-19.41,33.78,59.3,1.24,7.1,59.7,6.9
12935100,-19.65,32.73,59.2,1.23,6.7,59.6,6.5
12977125,-19.88,31.50,59.1,1.23,6.3,59.4,6.1
13019150,-20.06,30.44,59.0,1.22,6.0,59.3,5.8
13061175,-20.29,29.21,58.9,1.21,5.6,59.2,5.4
13103200,-20.53,27.98,58.8,1.21,5.2,59.0,5.1
13145225,-20.76,26.74,58.7,1.20,4.9,58.9,4.8
13187250,-21.00,25.34,58.6,1.20,4.5,58.8,4.4
13229275,-21.23,24.11,58.4,1.19,4.2,58.6,4.1
13271300,-21.47,22.52,58.3,1.18,3.8,58.5,3.7
13313325,-21.70,21.11,58.2,1.18,3.5,58.3,3.4
13355350,-21.88,19.53,58.1,1.18,3.2,58.2,3.1
13397375,-22.11,17.95,58.0,1.17,2.8,58.1,2.8
13439400,-22.35,16.19,57.9,1.17,2.5,57.9,2.5
13481425,-22.58,14.60,57.7,1.16,2.2,57.7,2.2
13523450,-22.82,12.67,57.6,1.16,1.8,57.6,1.8
13565475,-23.05,10.91,57.4,1.15,1.5,57.4,1.5
13607500,-23.28,8.97,57.2,1.15,1.2,57.3,1.2
13649525,-23.52,7.04,57.1,1.14,0.9,57.1,0.9
13691550,-23.70,5.28,57.0,1.14,0.7,57.0,0.7
13733575,-23.93,3.52,56.8,1.14,0.4,56.8,0.4
13775600,-24.11,2.46,56.6,1.13,0.3,56.6,0.3
13817625,-24.28,1.76,56.5,1.13,0.2,56.5,0.2
13859650,-24.46,1.58,56.4,1.13,0.2,56.4,0.2
13901675,-24.63,1.76,56.2,1.12,0.2,56.2,0.2
13943700,-24.81,2.29,56.1,1.12,0.3,56.1,0.3
13985725,-24.99,3.34,56.0,1.12,0.4,56.0,0.4
14027750,-25.10,5.28,55.9,1.12,0.6,55.9,0.6
14069775,-25.22,7.74,55.7,1.12,0.8,55.7,0.8
14111800,-25.28,10.56,55.6,1.12,1.1,55.7,1.1
14153825,-25.40,13.37,55.5,1.11,1.4,55.5,1.4
14195850,-25.45,16.36,55.4,1.11,1.7,55.4,1.7
14237875,-25.51,19.35,55.2,1.11,1.9,55.3,2.0
14279900,-25.51,22.17,55.1,1.11,2.2,55.2,2.3
14321925,-25.51,25.16,55.0,1.11,2.5,55.0,2.6
14363950,-25.51,28.15,54.8,1.11,2.8,54.9,2.9
14405975,-25.51,30.97,54.7,1.11,3.0,54.8,3.1
14448000,-25.45,33.96,54.5,1.11,3.3,54.6,3.4
14490025,-25.40,36.95,54.4,1.11,3.5,54.5,3.7
14532050,-25.34,39.77,54.2,1.11,3.8,54.3,4.0
14574075,-25.22,42.58,54.1,1.12,4.0,54.2,4.3
14616100,-25.16,45.22,53.9,1.12,4.2,54.0,4.5
14658125,-24.99,48.04,53.7,1.12,4.5,53.9,4.8
14700150,-24.87,50.67,53.5,1.12,4.7,53.7,5.1
14742175,-24.75,53.14,53.4,1.12,5.0,53.6,5.3
14784200,-24.63,55.60,53.2,1.12,5.2,53.4,5.5
14826225,-24.46,58.06,53.0,1.13,5.4,53.3,5.8
14868250,-24.34,60.35,52.8,1.13,5.6,53.1,6.0
