Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
3289681,0.76,161.88,2.2,22.80,8.0,8.3,74.2
3321900,0.76,161.52,2.3,22.80,8.1,8.4,74.5
3354119,0.76,161.35,2.3,22.80,8.2,8.5,74.6
3386338,0.76,161.17,2.3,22.80,8.3,8.6,74.8
3418557,0.76,161.00,2.3,22.80,8.4,8.7,74.9
3450776,0.76,160.82,2.3,22.80,8.4,8.7,75.0
3482995,0.76,160.65,2.3,22.80,8.5,8.8,75.1
3515214,0.76,160.47,2.3,22.80,8.6,8.9,75.3
3547433,0.76,160.12,2.3,22.80,8.7,9.0,75.5
3579652,0.76,159.94,2.3,22.80,8.8,9.1,75.6
3611871,0.70,159.77,2.1,24.70,8.9,9.1,76.8
3644090,0.70,159.59,2.1,24.70,9.0,9.2,76.9
3676309,0.70,159.41,2.1,24.70,9.1,9.3,77.0
3708528,0.70,159.24,2.1,24.70,9.1,9.4,77.1
3740747,0.70,158.89,2.1,24.70,9.3,9.5,77.3
3772966,0.70,158.71,2.1,24.70,9.4,9.6,77.4
3805185,0.70,158.53,2.1,24.70,9.5,9.7,77.5
3837404,0.70,158.36,2.1,24.70,9.5,9.8,77.6
3869623,0.70,158.18,2.1,24.70,9.6,9.8,77.7
3901842,0.70,158.01,2.1,24.70,9.7,9.9,77.8
3934061,0.70,157.83,2.1,24.70,9.8,10.0,77.9
3966280,0.70,157.65,2.1,24.70,9.9,10.1,78.0
3998499,0.70,157.30,2.1,24.70,10.0,10.2,78.1
4030718,0.70,157.13,2.1,24.70,10.1,10.3,78.2
4062937,0.70,156.95,2.1,24.70,10.2,10.4,78.3
4095156,0.70,156.77,2.1,24.70,10.3,10.5,78.4
4127375,0.70,156.60,2.1,24.70,10.3,10.6,78.5
4159594,0.70,156.42,2.1,24.70,10.4,10.6,78.5
4191813,0.70,156.07,2.1,24.70,10.6,10.8,78.7
4224032,0.70,155.89,2.1,24.70,10.7,10.9,78.8
4256251,0.70,155.72,2.1,24.70,10.7,10.9,78.8
4288470,0.70,155.54,2.1,24.70,10.8,11.0,78.9
