Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
56937230,-0.23,48.39,4.0,74.05,111.2,111.2,87.9
57130117,-0.18,49.79,2.9,98.73,107.7,107.7,88.5
57323004,-0.12,51.20,1.8,148.10,104.3,104.3,89.0
57515891,-0.12,52.61,1.7,148.10,101.1,101.1,89.0
57708778,-0.12,53.84,1.6,148.10,98.4,98.5,89.0
57901665,-0.12,55.25,1.6,148.10,95.5,95.5,89.1
58094552,-0.06,56.66,0.7,296.19,92.7,92.7,89.5
58287439,-0.06,58.06,0.7,296.19,90.1,90.1,89.5
58480326,-0.06,59.47,0.7,296.19,87.5,87.5,89.6
58673213,-0.06,60.88,0.7,296.19,85.1,85.1,89.6
58866100,-0.06,62.29,0.6,296.19,82.7,82.7,89.6
59058987,-0.00,63.70,0.0,?,80.5,80.5,90.0
59251874,-0.00,65.10,0.0,?,78.3,78.3,90.0
59444761,-0.00,66.51,0.0,?,76.2,76.2,90.0
59637648,-0.00,67.92,0.0,?,74.2,74.2,90.0
59830535,0.06,69.50,0.5,296.19,72.1,72.1,89.6
60023422,0.06,70.91,0.5,296.19,70.2,70.2,89.6
60216309,0.06,72.32,0.5,296.19,68.4,68.4,89.6
60409196,0.06,73.72,0.5,296.19,66.7,66.7,89.6
60602083,0.12,75.13,0.9,148.10,65.0,65.0,89.2
60794970,0.12,76.54,0.9,148.10,63.4,63.4,89.2
60987857,0.12,78.12,0.9,148.10,61.6,61.6,89.2
61180744,0.12,79.53,0.8,148.10,60.1,60.1,89.2
61373631,0.18,81.11,1.2,98.73,58.4,58.4,88.8
61566518,0.18,82.52,1.2,98.73,57.0,57.0,88.8
61759405,0.18,83.93,1.1,98.73,55.6,55.6,88.8
61952292,0.18,85.51,1.1,98.73,54.1,54.1,88.8
62145179,0.23,87.10,1.4,74.05,52.6,52.6,88.5
62338066,0.23,88.50,1.4,74.05,51.3,51.3,88.5
62530953,0.23,90.09,1.3,74.05,49.9,49.9,88.5
62723840,0.29,91.50,1.6,59.24,48.7,48.7,88.1
