Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
11134695,-0.64,78.48,4.6,26.99,61.0,61.2,85.7
11241376,-0.70,80.23,4.9,24.74,59.1,59.3,85.3
11348057,-0.70,81.11,4.8,24.74,58.2,58.4,85.3
11454738,-0.53,81.47,3.6,32.98,57.9,58.0,86.5
11561419,-0.53,82.70,3.5,32.98,56.7,56.8,86.5
11668100,-0.47,84.11,3.0,37.10,55.3,55.4,86.9
11774781,-0.41,85.34,2.6,42.40,54.2,54.2,87.3
11881462,-0.35,86.57,2.1,49.47,53.0,53.1,87.7
11988143,-0.35,87.80,2.1,49.47,51.9,52.0,87.7
12094824,-0.29,89.03,1.7,59.36,50.8,50.9,88.1
12201505,-0.23,90.09,1.3,74.20,49.9,49.9,88.5
12308186,-0.23,91.32,1.3,74.20,48.8,48.9,88.5
12414867,-0.26,92.55,1.4,68.01,47.8,47.8,88.3
12521548,-0.29,93.78,1.6,59.36,46.8,46.8,88.1
12628229,-0.23,95.01,1.2,74.20,45.8,45.8,88.4
12734910,-0.23,96.25,1.2,74.20,44.8,44.8,88.4
12841591,-0.23,97.30,1.2,74.20,44.0,44.0,88.4
12948272,-0.29,98.53,1.5,59.36,43.0,43.1,88.0
13054953,-0.23,99.59,1.2,74.20,42.2,42.3,88.4
13161634,-0.29,100.65,1.4,59.36,41.5,41.5,88.0
13268315,-0.29,101.70,1.4,59.36,40.7,40.7,88.0
13374996,-0.29,102.58,1.4,59.36,40.1,40.1,88.0
13481677,-0.35,103.64,1.6,49.47,39.3,39.3,87.6
13588358,-0.35,104.69,1.6,49.47,38.6,38.6,87.6
13695039,-0.29,105.57,1.3,59.36,38.0,38.0,88.0
13801720,-0.29,106.63,1.3,59.36,37.2,37.3,88.0
13908401,-0.29,107.51,1.3,59.36,36.6,36.7,88.0
14015082,-0.29,108.56,1.3,59.36,35.9,36.0,88.0
14121763,-0.29,109.62,1.3,59.36,35.2,35.3,88.0
14228444,-0.29,110.67,1.2,59.36,34.6,34.6,87.9
14335125,-0.29,111.73,1.2,59.36,33.9,33.9,87.9
14441806,-0.23,112.79,1.0,74.20,33.2,33.2,88.3
14548487,-0.23,114.02,1.0,74.20,32.5,32.5,88.3
14655168,-0.28,115.07,1.1,62.83,31.8,31.8,88.0
14761849,-0.29,116.48,1.2,59.36,30.9,31.0,87.8
14868530,-0.35,118.06,1.4,49.47,30.0,30.0,87.4
14975211,-0.70,119.47,2.7,24.74,29.1,29.2,84.7
15081892,-0.88,119.12,3.4,19.80,29.3,29.5,83.4
15188573,-0.70,117.71,2.8,24.74,30.1,30.3,84.8
15295254,-0.41,118.06,1.6,42.40,30.0,30.0,86.9
15401935,-0.35,119.47,1.4,49.47,29.2,29.2,87.3
15508616,-0.29,120.88,1.1,59.36,28.3,28.4,87.8
15615297,-0.29,122.29,1.1,59.36,27.5,27.6,87.7
15721978,-0.23,123.34,0.9,74.20,26.9,27.0,88.2
15828659,-0.23,124.57,0.9,74.20,26.3,26.3,88.1
15935340,-0.23,125.63,0.9,74.20,25.7,25.7,88.1
16042021,-0.23,126.69,0.8,74.20,25.1,25.1,88.1
16148702,-0.23,127.74,0.8,74.20,24.5,24.5,88.0
16255383,-0.18,128.80,0.6,98.93,24.0,24.0,88.5
16362064,-0.18,129.85,0.6,98.93,23.4,23.4,88.5
16468745,-0.18,130.91,0.6,98.93,22.8,22.8,88.5
16575426,-0.18,131.96,0.6,98.93,22.3,22.3,88.4
16682107,-0.18,133.02,0.6,98.93,21.7,21.7,88.4
16788788,-0.18,134.25,0.6,98.93,21.1,21.1,88.4
16895469,-0.12,135.31,0.4,148.39,20.6,20.6,88.9
17002150,-0.12,136.36,0.4,148.39,20.0,20.0,88.9
17108831,-0.12,137.42,0.4,148.39,19.5,19.5,88.9
17215512,-0.12,138.48,0.4,148.39,19.0,19.0,88.8
17322193,-0.16,139.53,0.5,105.97,18.4,18.4,88.3
17428874,-0.12,140.59,0.4,148.39,17.9,17.9,88.8
17535555,-0.12,141.64,0.4,148.39,17.4,17.4,88.8
17642236,-0.12,142.70,0.4,148.39,16.9,16.9,88.7
17748917,-0.10,143.75,0.3,176.17,16.4,16.4,88.9
17855598,-0.06,144.81,0.2,296.77,15.9,15.9,89.3
